2025-04-05T22:52:23.097+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-05T22:47:00.175444+00:00 [queued]>
2025-04-05T22:52:23.386+0000 [WARNING] Line 214 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 215 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.386+0000 [WARNING] Line 216 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 217 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 218 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 219 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 220 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 221 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 222 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 223 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.387+0000 [WARNING] Line 224 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 225 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 226 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 227 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 228 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 229 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 230 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 231 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 232 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 233 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.388+0000 [WARNING] Line 234 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 235 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 236 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 237 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 238 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 239 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 240 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 241 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.389+0000 [WARNING] Line 242 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 243 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 244 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 245 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 246 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 247 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 248 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 249 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 250 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.390+0000 [WARNING] Line 251 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 252 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 253 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 254 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 255 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 256 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 257 has 18 fields - attempting smart truncation
2025-04-05T22:52:23.391+0000 [WARNING] Line 258 has 18 fields - attempting smart truncation
