2025-04-03T21:38:17.287+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Starting attempt 1 of 4
2025-04-03T21:38:17.310+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:37:15.310530+00:00
2025-04-03T21:38:17.317+0000 [INFO] Started process 1483 to run task
2025-04-03T21:38:17.323+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:37:15.310530+00:00', '--job-id', '480', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpzd76z89w']
2025-04-03T21:38:17.326+0000 [INFO] Job 480: Subtask processing.extract
2025-04-03T21:38:18.371+0000 [WARNING] Skipping malformed line 108: Found 18 fields (expected 14)
2025-04-03T21:38:18.371+0000 [WARNING] Skipping malformed line 109: Found 18 fields (expected 14)
2025-04-03T21:38:18.371+0000 [WARNING] Skipping malformed line 110: Found 18 fields (expected 14)
2025-04-03T21:38:18.371+0000 [WARNING] Skipping malformed line 111: Found 18 fields (expected 14)
2025-04-03T21:38:18.372+0000 [WARNING] Skipping malformed line 112: Found 18 fields (expected 14)
2025-04-03T21:38:18.372+0000 [WARNING] Skipping malformed line 113: Found 18 fields (expected 14)
2025-04-03T21:38:18.372+0000 [WARNING] Skipping malformed line 114: Found 18 fields (expected 14)
2025-04-03T21:38:18.372+0000 [WARNING] Skipping malformed line 115: Found 18 fields (expected 14)
2025-04-03T21:38:18.372+0000 [WARNING] Skipping malformed line 116: Found 18 fields (expected 14)
2025-04-03T21:38:18.372+0000 [WARNING] Skipping malformed line 117: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 118: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 119: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 120: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 121: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 122: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 123: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 124: Found 18 fields (expected 14)
2025-04-03T21:38:18.373+0000 [WARNING] Skipping malformed line 125: Found 18 fields (expected 14)
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 126: Found 18 fields (expected 14)
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 127: Found 18 fields (expected 14)
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 128: Found 18 fields (expected 14)
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 129: Found 18 fields (expected 14)
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 130: Found 18 fields (expected 14)
2025-04-03T21:38:18.374+0000 [WARNING] Skipping malformed line 131: Found 18 fields (expected 14)
