2025-04-04T21:44:19.756+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:43:21.567094+00:00 [queued]>
2025-04-04T21:44:19.762+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:43:21.567094+00:00 [queued]>
2025-04-04T21:44:19.762+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:44:19.979+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:43:21.567094+00:00
2025-04-04T21:44:19.987+0000 [INFO] Started process 1869 to run task
2025-04-04T21:44:19.992+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-04T21:43:21.567094+00:00', '--job-id', '610', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpr8u6r7nm']
2025-04-04T21:44:19.995+0000 [INFO] Job 610: Subtask processing.extract
2025-04-04T21:44:20.179+0000 [WARNING] Line 139 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.179+0000 [WARNING] Line 140 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.179+0000 [WARNING] Line 141 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.179+0000 [WARNING] Line 142 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.180+0000 [WARNING] Line 143 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.180+0000 [WARNING] Line 144 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.182+0000 [WARNING] Line 145 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.182+0000 [WARNING] Line 146 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.183+0000 [WARNING] Line 147 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.183+0000 [WARNING] Line 148 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.183+0000 [WARNING] Line 149 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.183+0000 [WARNING] Line 150 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.183+0000 [WARNING] Line 151 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.183+0000 [WARNING] Line 152 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.184+0000 [WARNING] Line 153 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.184+0000 [WARNING] Line 154 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.184+0000 [WARNING] Line 155 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.184+0000 [WARNING] Line 156 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.184+0000 [WARNING] Line 157 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.184+0000 [WARNING] Line 158 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.185+0000 [WARNING] Line 159 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.185+0000 [WARNING] Line 160 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.185+0000 [WARNING] Line 161 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.185+0000 [WARNING] Line 162 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.186+0000 [WARNING] Line 163 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.186+0000 [WARNING] Line 164 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.186+0000 [WARNING] Line 165 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.186+0000 [WARNING] Line 166 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.186+0000 [WARNING] Line 167 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.187+0000 [WARNING] Line 168 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.187+0000 [WARNING] Line 169 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.187+0000 [WARNING] Line 170 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.188+0000 [WARNING] Line 171 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.188+0000 [WARNING] Line 172 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.188+0000 [WARNING] Line 173 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.189+0000 [WARNING] Line 174 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.189+0000 [WARNING] Line 175 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.189+0000 [WARNING] Line 176 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.189+0000 [WARNING] Line 177 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.190+0000 [WARNING] Line 178 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.190+0000 [WARNING] Line 179 has 18 fields - attempting smart truncation
2025-04-04T21:44:20.190+0000 [WARNING] Line 180 has 18 fields - attempting smart truncation
