2025-04-03T22:15:08.391+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.400+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.402+0000 [INFO] Starting attempt 2 of 4
2025-04-03T22:15:08.413+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:53:45.219886+00:00
2025-04-03T22:15:08.418+0000 [INFO] Started process 1564 to run task
2025-04-03T22:15:08.428+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:53:45.219886+00:00', '--job-id', '505', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpjdcp82zt']
2025-04-03T22:15:08.471+0000 [INFO] Job 505: Subtask processing.extract
2025-04-03T22:15:08.579+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [running]> on host 8d34dc648251
2025-04-03T22:15:11.159+0000 [WARNING] Line 174 has 18 fields - truncating to 14
2025-04-03T22:15:11.159+0000 [WARNING] Line 175 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 176 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 177 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 178 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 179 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 180 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 181 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 182 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 183 has 18 fields - truncating to 14
2025-04-03T22:15:11.160+0000 [WARNING] Line 184 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 185 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 186 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 187 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 188 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 189 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 190 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 191 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 192 has 18 fields - truncating to 14
2025-04-03T22:15:11.161+0000 [WARNING] Line 193 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 194 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 195 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 196 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 197 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 198 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 199 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 200 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 201 has 18 fields - truncating to 14
2025-04-03T22:15:11.162+0000 [WARNING] Line 202 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 203 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 204 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 205 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 206 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 207 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 208 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 209 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 210 has 18 fields - truncating to 14
2025-04-03T22:15:11.163+0000 [WARNING] Line 211 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 212 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 213 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 214 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 215 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 216 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 217 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 218 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 219 has 18 fields - truncating to 14
2025-04-03T22:15:11.164+0000 [WARNING] Line 220 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 221 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 222 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 223 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 224 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 225 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 226 has 18 fields - truncating to 14
2025-04-03T22:15:11.165+0000 [WARNING] Line 227 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 228 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 229 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 230 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 231 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 232 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 233 has 18 fields - truncating to 14
2025-04-03T22:15:11.166+0000 [WARNING] Line 234 has 18 fields - truncating to 14
