2025-04-03T22:37:54.728+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:28.794923+00:00 [queued]>
2025-04-03T22:37:54.736+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:28.794923+00:00 [queued]>
2025-04-03T22:37:54.736+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:37:54.744+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:37:28.794923+00:00
2025-04-03T22:37:54.748+0000 [INFO] Started process 1596 to run task
2025-04-03T22:37:54.751+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:37:28.794923+00:00', '--job-id', '518', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp1uqrynig']
2025-04-03T22:37:54.752+0000 [INFO] Job 518: Subtask processing.extract
2025-04-03T22:37:56.113+0000 [WARNING] Line 246 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 247 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 248 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 249 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 250 has 18 fields - truncating to 14
2025-04-03T22:37:56.115+0000 [WARNING] Line 251 has 18 fields - truncating to 14
2025-04-03T22:37:56.115+0000 [WARNING] Line 252 has 18 fields - truncating to 14
2025-04-03T22:37:56.115+0000 [WARNING] Line 253 has 18 fields - truncating to 14
2025-04-03T22:37:56.116+0000 [WARNING] Line 254 has 18 fields - truncating to 14
2025-04-03T22:37:56.116+0000 [WARNING] Line 255 has 18 fields - truncating to 14
2025-04-03T22:37:56.116+0000 [WARNING] Line 256 has 18 fields - truncating to 14
2025-04-03T22:37:56.117+0000 [WARNING] Line 257 has 18 fields - truncating to 14
2025-04-03T22:37:56.117+0000 [WARNING] Line 258 has 18 fields - truncating to 14
2025-04-03T22:37:56.118+0000 [WARNING] Line 259 has 18 fields - truncating to 14
2025-04-03T22:37:56.118+0000 [WARNING] Line 260 has 18 fields - truncating to 14
2025-04-03T22:37:56.118+0000 [WARNING] Line 261 has 18 fields - truncating to 14
2025-04-03T22:37:56.118+0000 [WARNING] Line 262 has 18 fields - truncating to 14
2025-04-03T22:37:56.118+0000 [WARNING] Line 263 has 18 fields - truncating to 14
2025-04-03T22:37:56.119+0000 [WARNING] Line 264 has 18 fields - truncating to 14
2025-04-03T22:37:56.119+0000 [WARNING] Line 265 has 18 fields - truncating to 14
2025-04-03T22:37:56.119+0000 [WARNING] Line 266 has 18 fields - truncating to 14
2025-04-03T22:37:56.119+0000 [WARNING] Line 267 has 18 fields - truncating to 14
2025-04-03T22:37:56.119+0000 [WARNING] Line 268 has 18 fields - truncating to 14
2025-04-03T22:37:56.120+0000 [WARNING] Line 269 has 18 fields - truncating to 14
2025-04-03T22:37:56.120+0000 [WARNING] Line 270 has 18 fields - truncating to 14
2025-04-03T22:37:56.120+0000 [WARNING] Line 271 has 18 fields - truncating to 14
